tool	mode	search_source	fields	version
read_mvs_dump_title_date_from_hash.bat	machine	hash	title,date	0.1.0
print_mvs_dump_title_note_from_filename.bat	human	filename	title,note	0.1.0
read_mvs_dump_title_note_from_filename.bat	machine	filename	title,note	0.1.0
print_mvs_dump_title_note_from_hash.bat	human	hash	title,note	0.1.0
read_mvs_dump_title_note_from_hash.bat	machine	hash	title,note	0.1.0
print_mvs_dump_title_date_note_from_filename.bat	human	filename	title,date,note	0.1.0
read_mvs_dump_title_date_note_from_filename.bat	machine	filename	title,date,note	0.1.0
print_mvs_dump_title_date_note_from_hash.bat	human	hash	title,date,note	0.1.0
read_mvs_dump_title_date_note_from_hash.bat	machine	hash	title,date,note	0.1.0
print_mvs_dump_date_note_from_filename.bat	human	filename	date,note	0.1.0
read_mvs_dump_date_note_from_filename.bat	machine	filename	date,note	0.1.0
print_mvs_dump_date_note_from_hash.bat	human	hash	date,note	0.1.0
read_mvs_dump_date_note_from_hash.bat	machine	hash	date,note	0.1.0
print_mvs_dump_id_title_filenames_from_filename.bat	human	filename	id,title,filename	0.1.0
read_mvs_dump_id_title_filenames_from_filename.bat	machine	filename	id,title,filename	0.1.0
print_mvs_dump_id_title_filenames_from_hash.bat	human	hash	id,title,filename	0.1.0
read_mvs_dump_id_title_filenames_from_hash.bat	machine	hash	id,title,filename	0.1.0
print_mvs_dump_id_date_filenames_from_filename.bat	human	filename	id,date,filename	0.1.0
read_mvs_dump_id_date_filenames_from_filename.bat	machine	filename	id,date,filename	0.1.0
print_mvs_dump_id_date_filenames_from_hash.bat	human	hash	id,date,filename	0.1.0
read_mvs_dump_id_date_filenames_from_hash.bat	machine	hash	id,date,filename	0.1.0
print_mvs_dump_id_title_date_filenames_from_filename.bat	human	filename	id,title,date,filename	0.1.0
read_mvs_dump_id_title_date_filenames_from_filename.bat	machine	filename	id,title,date,filename	0.1.0
print_mvs_dump_id_title_date_filenames_from_hash.bat	human	hash	id,title,date,filename	0.1.0
read_mvs_dump_id_title_date_filenames_from_hash.bat	machine	hash	id,title,date,filename	0.1.0
print_mvs_dump_id_title_note_filenames_from_filename.bat	human	filename	id,title,note,filename	0.1.0
read_mvs_dump_id_title_note_filenames_from_filename.bat	machine	filename	id,title,note,filename	0.1.0
print_mvs_dump_id_title_note_filenames_from_hash.bat	human	hash	id,title,note,filename	0.1.0
read_mvs_dump_id_title_note_filenames_from_hash.bat	machine	hash	id,title,note,filename	0.1.0
print_mvs_dump_id_title_date_note_filenames_from_filename.bat	human	filename	id,title,date,note,filename	0.1.0
read_mvs_dump_id_title_date_note_filenames_from_filename.bat	machine	filename	id,title,date,note,filename	0.1.0
print_mvs_dump_id_title_date_note_filenames_from_hash.bat	human	hash	id,title,date,note,filename	0.1.0
read_mvs_dump_id_title_date_note_filenames_from_hash.bat	machine	hash	id,title,date,note,filename	0.1.0
