tool	family	mode	fields	sort	lookup_source	lookup_target	version
find_mvs_orphan_title_from_mvs_ids.txt_in_mvs_notes.html.bat	diagnostic	human	title	source-order	mvs_ids.txt	mvs_notes.html	0.1.0
find_mvs_orphan_titles_from_mvs.txt_in_mvs_dates.txt.bat	diagnostic	human	title	source-order	mvs.txt	mvs_dates.txt	0.1.0
find_mvs_orphan_titles_from_mvs.txt_in_mvs_ids.txt.bat	diagnostic	human	title	source-order	mvs.txt	mvs_ids.txt	0.1.0
find_mvs_orphan_titles_from_mvs.txt_in_mvs_names.txt.bat	diagnostic	human	title	source-order	mvs.txt	mvs_names.txt	0.1.0
find_mvs_orphan_titles_from_mvs_dates.txt_in_mvs.txt.bat	diagnostic	human	title	source-order	mvs_dates.txt	mvs.txt	0.1.0
find_mvs_orphan_titles_from_mvs_dates.txt_in_mvs_ids.txt.bat	diagnostic	human	title	source-order	mvs_dates.txt	mvs_ids.txt	0.1.0
find_mvs_orphan_titles_from_mvs_dates.txt_in_mvs_names.txt.bat	diagnostic	human	title	source-order	mvs_dates.txt	mvs_names.txt	0.1.0
find_mvs_orphan_titles_from_mvs_names.txt_in_mvs.txt.bat	diagnostic	human	title	source-order	mvs_names.txt	mvs.txt	0.1.0
find_mvs_orphan_titles_from_mvs_names.txt_in_mvs_dates.txt.bat	diagnostic	human	title	source-order	mvs_names.txt	mvs_dates.txt	0.1.0
find_mvs_orphan_titles_from_mvs_names.txt_in_mvs_ids.txt.bat	diagnostic	human	title	source-order	mvs_names.txt	mvs_ids.txt	0.1.0
find_mvs_unparsed_lines_in_mvs.sha1.bat	single-dump	human	line,raw	source-order		mvs.sha1	0.1.2
find_mvs_unparsed_lines_in_mvs.sha256.bat	single-dump	human	line,raw	source-order		mvs.sha256	0.1.2
find_mvs_unparsed_lines_in_mvs.txt.bat	single-dump	human	line,raw	source-order		mvs.txt	0.1.2
find_mvs_unparsed_lines_in_mvs_dates.txt.bat	single-dump	human	line,raw	source-order		mvs_dates.txt	0.1.2
find_mvs_unparsed_lines_in_mvs_ids.txt.bat	single-dump	human	line,raw	source-order		mvs_ids.txt	0.1.2
find_mvs_unparsed_lines_in_mvs_names.txt.bat	single-dump	human	line,raw	source-order		mvs_names.txt	0.1.2
lookup_mvs_date_from_id.bat	lookup	raw-lines	date	by-search-field:id	id	date	0.4.0
lookup_mvs_date_from_title.bat	lookup	raw-lines	date	by-search-field:title	title	date	0.4.0
lookup_mvs_note_from_date.bat	lookup	raw-lines	note	by-search-field:date	date	note	0.4.0
lookup_mvs_note_from_id.bat	lookup	raw-lines	note	by-search-field:id	id	note	0.4.0
lookup_mvs_note_from_title.bat	lookup	raw-lines	note	by-search-field:title	title	note	0.4.0
lookup_mvs_title_from_date.bat	lookup	raw-lines	title	by-search-field:date	date	title	0.4.0
lookup_mvs_title_from_id.bat	lookup	raw-lines	title	by-search-field:id	id	title	0.4.0
print_mvs_dump_date.bat	print	human	date	source-order			0.6.0
print_mvs_dump_date_from_filename.bat	relationship	human	date	source-order	filename		0.1.0
print_mvs_dump_date_from_hash.bat	relationship	human	date	source-order	hash		0.1.0
print_mvs_dump_date_note.bat	print	human	date,note	source-order			0.6.0
print_mvs_dump_date_note_filenames_from_filename.bat	relationship	human	date,note,filename	source-order	filename		0.1.0
print_mvs_dump_date_note_filenames_from_hash.bat	relationship	human	date,note,filename	source-order	hash		0.1.0
print_mvs_dump_date_note_from_filename.bat	relationship	human	date,note	source-order	filename		0.1.0
print_mvs_dump_date_note_from_hash.bat	relationship	human	date,note	source-order	hash		0.1.0
print_mvs_dump_date_note_sorted_by_date.bat	print	human	date,note	date			0.4.0
print_mvs_dump_date_note_sorted_by_id.bat	print	human	date,note	id			0.4.0
print_mvs_dump_date_note_sorted_by_title.bat	print	human	date,note	title			0.4.0
print_mvs_dump_date_sorted_by_date.bat	print	human	date	date			0.4.0
print_mvs_dump_date_sorted_by_id.bat	print	human	date	id			0.4.0
print_mvs_dump_date_sorted_by_title.bat	print	human	date	title			0.4.0
print_mvs_dump_filename_hash_algorithm_source.bat	single-dump	human	filename,hash,algorithm,source	source-order			0.1.2
print_mvs_dump_filename_hash_algorithm_source_from_filename.bat	single-dump	human	filename,hash,algorithm,source	source-order	filename		0.1.2
print_mvs_dump_filename_hash_algorithm_source_from_hash.bat	single-dump	human	filename,hash,algorithm,source	source-order	hash		0.1.2
print_mvs_dump_filename_hash_algorithm_source_from_id.bat	single-dump	human	filename,hash,algorithm,source	source-order	id		0.1.2
print_mvs_dump_filename_hash_algorithm_source_from_title.bat	single-dump	human	filename,hash,algorithm,source	source-order	title		0.1.2
print_mvs_dump_filename_hashes_from_filename.bat	single-dump	human	filename,hash	source-order	filename		0.1.2
print_mvs_dump_filename_hashes_from_hash.bat	single-dump	human	filename,hash	source-order	hash		0.1.2
print_mvs_dump_filename_hashes_from_id.bat	single-dump	human	filename,hash	source-order	id		0.1.2
print_mvs_dump_filename_hashes_from_title.bat	single-dump	human	filename,hash	source-order	title		0.1.2
print_mvs_dump_filename_sha1.bat	single-dump	human	filename,hash	source-order			0.1.2
print_mvs_dump_filename_sha256.bat	single-dump	human	filename,hash	source-order			0.1.2
print_mvs_dump_filenames_from_filename.bat	relationship	human	filename	source-order	filename		0.1.0
print_mvs_dump_filenames_from_hash.bat	relationship	human	filename	source-order	hash		0.1.0
print_mvs_dump_filenames_from_id.bat	single-dump	human	filename	source-order	id		0.1.2
print_mvs_dump_filenames_from_title.bat	single-dump	human	filename	source-order	title		0.1.2
print_mvs_dump_hash_records.bat	single-dump	human	source,line,id,title,variant_title,filename,hash,algorithm	source-order			0.1.2
print_mvs_dump_hash_records_from_filename.bat	single-dump	human	source,line,id,title,variant_title,filename,hash,algorithm	source-order	filename		0.1.2
print_mvs_dump_hash_records_from_hash.bat	single-dump	human	source,line,id,title,variant_title,filename,hash,algorithm	source-order	hash		0.1.2
print_mvs_dump_hashes_from_filename.bat	single-dump	human	hash	source-order	filename		0.1.2
print_mvs_dump_hashes_from_id.bat	single-dump	human	hash	source-order	id		0.1.2
print_mvs_dump_hashes_from_title.bat	single-dump	human	hash	source-order	title		0.1.2
print_mvs_dump_id.bat	print	human	id	source-order			0.6.0
print_mvs_dump_id_date.bat	print	human	id,date	source-order			0.6.0
print_mvs_dump_id_date_filenames_from_filename.bat	relationship	human	id,date,filename	source-order	filename		0.1.0
print_mvs_dump_id_date_filenames_from_hash.bat	relationship	human	id,date,filename	source-order	hash		0.1.0
print_mvs_dump_id_date_from_filename.bat	relationship	human	id,date	source-order	filename		0.1.0
print_mvs_dump_id_date_from_hash.bat	relationship	human	id,date	source-order	hash		0.1.0
print_mvs_dump_id_date_note.bat	print	human	id,date,note	source-order			0.6.0
print_mvs_dump_id_date_note_sorted_by_date.bat	print	human	id,date,note	date			0.4.0
print_mvs_dump_id_date_note_sorted_by_id.bat	print	human	id,date,note	id			0.4.0
print_mvs_dump_id_date_note_sorted_by_title.bat	print	human	id,date,note	title			0.4.0
print_mvs_dump_id_date_sorted_by_date.bat	print	human	id,date	date			0.4.0
print_mvs_dump_id_date_sorted_by_id.bat	print	human	id,date	id			0.4.0
print_mvs_dump_id_date_sorted_by_title.bat	print	human	id,date	title			0.4.0
print_mvs_dump_id_from_filename.bat	relationship	human	id	source-order	filename		0.1.0
print_mvs_dump_id_from_hash.bat	relationship	human	id	source-order	hash		0.1.0
print_mvs_dump_id_note.bat	print	human	id,note	source-order			0.6.0
print_mvs_dump_id_note_sorted_by_date.bat	print	human	id,note	date			0.4.0
print_mvs_dump_id_note_sorted_by_id.bat	print	human	id,note	id			0.4.0
print_mvs_dump_id_note_sorted_by_title.bat	print	human	id,note	title			0.4.0
print_mvs_dump_id_sorted_by_date.bat	print	human	id	date			0.4.0
print_mvs_dump_id_sorted_by_id.bat	print	human	id	id			0.4.0
print_mvs_dump_id_sorted_by_title.bat	print	human	id	title			0.4.0
print_mvs_dump_id_title.bat	print	human	id,title	source-order			0.6.0
print_mvs_dump_id_title_date.bat	print	human	id,title,date	source-order			0.6.0
print_mvs_dump_id_title_date_filenames_from_filename.bat	relationship	human	id,title,date,filename	source-order	filename		0.1.0
print_mvs_dump_id_title_date_filenames_from_hash.bat	relationship	human	id,title,date,filename	source-order	hash		0.1.0
print_mvs_dump_id_title_date_from_filename.bat	relationship	human	id,title,date	source-order	filename		0.1.0
print_mvs_dump_id_title_date_from_hash.bat	relationship	human	id,title,date	source-order	hash		0.1.0
print_mvs_dump_id_title_date_note.bat	print	human	id,title,date,note	source-order			0.6.0
print_mvs_dump_id_title_date_note_filenames_from_filename.bat	relationship	human	id,title,date,note,filename	source-order	filename		0.1.0
print_mvs_dump_id_title_date_note_filenames_from_hash.bat	relationship	human	id,title,date,note,filename	source-order	hash		0.1.0
print_mvs_dump_id_title_date_note_filenames_hashes_from_filename.bat	single-dump	human	id,title,date,note,filename,hash	source-order	filename		0.1.2
print_mvs_dump_id_title_date_note_filenames_hashes_from_hash.bat	single-dump	human	id,title,date,note,filename,hash	source-order	hash		0.1.2
print_mvs_dump_id_title_date_note_filenames_hashes_from_id.bat	single-dump	human	id,title,date,note,filename,hash	source-order	id		0.1.2
print_mvs_dump_id_title_date_note_filenames_hashes_from_title.bat	single-dump	human	id,title,date,note,filename,hash	source-order	title		0.1.2
print_mvs_dump_id_title_date_note_from_filename.bat	relationship	human	id,title,date,note	source-order	filename		0.1.0
print_mvs_dump_id_title_date_note_from_hash.bat	relationship	human	id,title,date,note	source-order	hash		0.1.0
print_mvs_dump_id_title_date_note_sorted_by_date.bat	print	human	id,title,date,note	date			0.4.0
print_mvs_dump_id_title_date_note_sorted_by_id.bat	print	human	id,title,date,note	id			0.4.0
print_mvs_dump_id_title_date_note_sorted_by_title.bat	print	human	id,title,date,note	title			0.4.0
print_mvs_dump_id_title_date_sorted_by_date.bat	print	human	id,title,date	date			0.4.0
print_mvs_dump_id_title_date_sorted_by_id.bat	print	human	id,title,date	id			0.4.0
print_mvs_dump_id_title_date_sorted_by_title.bat	print	human	id,title,date	title			0.4.0
print_mvs_dump_id_title_filenames_from_filename.bat	relationship	human	id,title,filename	source-order	filename		0.1.0
print_mvs_dump_id_title_filenames_from_hash.bat	relationship	human	id,title,filename	source-order	hash		0.1.0
print_mvs_dump_id_title_filenames_from_id.bat	single-dump	human	id,title,filename	source-order	id		0.1.2
print_mvs_dump_id_title_filenames_from_title.bat	single-dump	human	id,title,filename	source-order	title		0.1.2
print_mvs_dump_id_title_filenames_hashes_from_filename.bat	single-dump	human	id,title,filename,hash	source-order	filename		0.1.2
print_mvs_dump_id_title_filenames_hashes_from_hash.bat	single-dump	human	id,title,filename,hash	source-order	hash		0.1.2
print_mvs_dump_id_title_filenames_hashes_from_id.bat	single-dump	human	id,title,filename,hash	source-order	id		0.1.2
print_mvs_dump_id_title_filenames_hashes_from_title.bat	single-dump	human	id,title,filename,hash	source-order	title		0.1.2
print_mvs_dump_id_title_from_filename.bat	relationship	human	id,title	source-order	filename		0.1.0
print_mvs_dump_id_title_from_hash.bat	relationship	human	id,title	source-order	hash		0.1.0
print_mvs_dump_id_title_note.bat	print	human	id,title,note	source-order			0.6.0
print_mvs_dump_id_title_note_filenames_from_filename.bat	relationship	human	id,title,note,filename	source-order	filename		0.1.0
print_mvs_dump_id_title_note_filenames_from_hash.bat	relationship	human	id,title,note,filename	source-order	hash		0.1.0
print_mvs_dump_id_title_note_from_filename.bat	relationship	human	id,title,note	source-order	filename		0.1.0
print_mvs_dump_id_title_note_from_hash.bat	relationship	human	id,title,note	source-order	hash		0.1.0
print_mvs_dump_id_title_note_sorted_by_date.bat	print	human	id,title,note	date			0.4.0
print_mvs_dump_id_title_note_sorted_by_id.bat	print	human	id,title,note	id			0.4.0
print_mvs_dump_id_title_note_sorted_by_title.bat	print	human	id,title,note	title			0.4.0
print_mvs_dump_id_title_sorted_by_date.bat	print	human	id,title	date			0.4.0
print_mvs_dump_id_title_sorted_by_id.bat	print	human	id,title	id			0.4.0
print_mvs_dump_id_title_sorted_by_title.bat	print	human	id,title	title			0.4.0
print_mvs_dump_id_variant_filenames.bat	single-dump	human	id,filename	source-order			0.1.2
print_mvs_dump_id_variant_hashes.bat	single-dump	human	id,hash	source-order			0.1.2
print_mvs_dump_id_variant_title_filename_hashes.bat	single-dump	human	id,variant_title,filename,hash	source-order			0.1.2
print_mvs_dump_id_variant_title_filename_hashes_from_filename.bat	single-dump	human	id,variant_title,filename,hash	source-order	filename		0.1.2
print_mvs_dump_id_variant_title_filename_hashes_from_hash.bat	single-dump	human	id,variant_title,filename,hash	source-order	hash		0.1.2
print_mvs_dump_id_variant_title_filename_hashes_from_id.bat	single-dump	human	id,variant_title,filename,hash	source-order	id		0.1.2
print_mvs_dump_id_variant_titles.bat	single-dump	human	id,variant_title	source-order			0.1.2
print_mvs_dump_note.bat	print	human	note	source-order			0.6.0
print_mvs_dump_note_from_filename.bat	relationship	human	note	source-order	filename		0.1.0
print_mvs_dump_note_from_hash.bat	relationship	human	note	source-order	hash		0.1.0
print_mvs_dump_note_records.bat	single-dump	human	occurrence,title,note	source-order			0.1.2
print_mvs_dump_note_records_from_title.bat	single-dump	human	occurrence,title,note	source-order	title		0.1.2
print_mvs_dump_note_sorted_by_date.bat	print	human	note	date			0.4.0
print_mvs_dump_note_sorted_by_id.bat	print	human	note	id			0.4.0
print_mvs_dump_note_sorted_by_title.bat	print	human	note	title			0.4.0
print_mvs_dump_product_files.bat	single-dump	human	id,title,date,note,filename,hash,algorithm	source-order			0.1.2
print_mvs_dump_product_files_from_id.bat	single-dump	human	id,title,date,note,filename,hash,algorithm	source-order	id		0.1.2
print_mvs_dump_product_files_from_title.bat	single-dump	human	id,title,date,note,filename,hash,algorithm	source-order	title		0.1.2
print_mvs_dump_product_sections.bat	single-dump	human	section_occurrence,id,title,line_offset,line,raw	source-order			0.1.2
print_mvs_dump_product_sections_from_id.bat	single-dump	human	section_occurrence,id,title,line_offset,line,raw	source-order	id		0.1.2
print_mvs_dump_product_sections_from_title.bat	single-dump	human	section_occurrence,id,title,line_offset,line,raw	source-order	title		0.1.2
print_mvs_dump_sha1.bat	single-dump	human	hash	source-order			0.1.2
print_mvs_dump_sha1_filename.bat	single-dump	human	hash,filename	source-order			0.1.2
print_mvs_dump_sha1_from_filename.bat	single-dump	human	hash	source-order	filename		0.1.2
print_mvs_dump_sha256.bat	single-dump	human	hash	source-order			0.1.2
print_mvs_dump_sha256_filename.bat	single-dump	human	hash,filename	source-order			0.1.2
print_mvs_dump_sha256_from_filename.bat	single-dump	human	hash	source-order	filename		0.1.2
print_mvs_dump_statistics.bat	single-dump	human		source-order			0.1.2
print_mvs_dump_summary.bat	single-dump	human		source-order			0.1.2
print_mvs_dump_title.bat	print	human	title	source-order			0.6.0
print_mvs_dump_title_date.bat	print	human	title,date	source-order			0.6.0
print_mvs_dump_title_date_filenames_from_filename.bat	relationship	human	title,date,filename	source-order	filename		0.1.0
print_mvs_dump_title_date_filenames_from_hash.bat	relationship	human	title,date,filename	source-order	hash		0.1.0
print_mvs_dump_title_date_from_filename.bat	relationship	human	title,date	source-order	filename		0.1.0
print_mvs_dump_title_date_from_hash.bat	relationship	human	title,date	source-order	hash		0.1.0
print_mvs_dump_title_date_note.bat	print	human	title,date,note	source-order			0.6.0
print_mvs_dump_title_date_note_filenames_from_filename.bat	relationship	human	title,date,note,filename	source-order	filename		0.1.0
print_mvs_dump_title_date_note_filenames_from_hash.bat	relationship	human	title,date,note,filename	source-order	hash		0.1.0
print_mvs_dump_title_date_note_from_filename.bat	relationship	human	title,date,note	source-order	filename		0.1.0
print_mvs_dump_title_date_note_from_hash.bat	relationship	human	title,date,note	source-order	hash		0.1.0
print_mvs_dump_title_date_note_sorted_by_date.bat	print	human	title,date,note	date			0.4.0
print_mvs_dump_title_date_note_sorted_by_id.bat	print	human	title,date,note	id			0.4.0
print_mvs_dump_title_date_note_sorted_by_title.bat	print	human	title,date,note	title			0.4.0
print_mvs_dump_title_date_sorted_by_date.bat	print	human	title,date	date			0.4.0
print_mvs_dump_title_date_sorted_by_id.bat	print	human	title,date	id			0.4.0
print_mvs_dump_title_date_sorted_by_title.bat	print	human	title,date	title			0.4.0
print_mvs_dump_title_filenames_from_filename.bat	relationship	human	title,filename	source-order	filename		0.1.0
print_mvs_dump_title_filenames_from_hash.bat	relationship	human	title,filename	source-order	hash		0.1.0
print_mvs_dump_title_filenames_hashes_from_filename.bat	single-dump	human	title,filename,hash	source-order	filename		0.1.2
print_mvs_dump_title_filenames_hashes_from_hash.bat	single-dump	human	title,filename,hash	source-order	hash		0.1.2
print_mvs_dump_title_filenames_hashes_from_id.bat	single-dump	human	title,filename,hash	source-order	id		0.1.2
print_mvs_dump_title_filenames_hashes_from_title.bat	single-dump	human	title,filename,hash	source-order	title		0.1.2
print_mvs_dump_title_from_filename.bat	relationship	human	title	source-order	filename		0.1.0
print_mvs_dump_title_from_hash.bat	relationship	human	title	source-order	hash		0.1.0
print_mvs_dump_title_note.bat	print	human	title,note	source-order			0.6.0
print_mvs_dump_title_note_filenames_from_filename.bat	relationship	human	title,note,filename	source-order	filename		0.1.0
print_mvs_dump_title_note_filenames_from_hash.bat	relationship	human	title,note,filename	source-order	hash		0.1.0
print_mvs_dump_title_note_from_filename.bat	relationship	human	title,note	source-order	filename		0.1.0
print_mvs_dump_title_note_from_hash.bat	relationship	human	title,note	source-order	hash		0.1.0
print_mvs_dump_title_note_sorted_by_date.bat	print	human	title,note	date			0.4.0
print_mvs_dump_title_note_sorted_by_id.bat	print	human	title,note	id			0.4.0
print_mvs_dump_title_note_sorted_by_title.bat	print	human	title,note	title			0.4.0
print_mvs_dump_title_sorted_by_date.bat	print	human	title	date			0.4.0
print_mvs_dump_title_sorted_by_id.bat	print	human	title	id			0.4.0
print_mvs_dump_title_sorted_by_title.bat	print	human	title	title			0.4.0
print_mvs_dump_variant_filenames.bat	single-dump	human	filename	source-order			0.1.2
print_mvs_dump_variant_filenames_from_id.bat	single-dump	human	filename	source-order	id		0.1.2
print_mvs_dump_variant_hashes.bat	single-dump	human	hash	source-order			0.1.2
print_mvs_dump_variant_hashes_from_id.bat	single-dump	human	hash	source-order	id		0.1.2
print_mvs_dump_variant_titles.bat	single-dump	human	variant_title	source-order			0.1.2
print_mvs_dump_variant_titles_from_id.bat	single-dump	human	variant_title	source-order	id		0.1.2
